name,BOOM 2 Wireless Bluetooth Speaker - IndigoCPE,BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - BlackCPE,Bose® - Soundlink® Color Bluetooth Speaker II - Coral RedCPE,Boytone - 2500W 2.1-Ch. Home Theater System - Black DiamondCPE,Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - BlackCPE,Chant Mini Portable Bluetooth Wireless Speaker (Navy)CPE,Chant Sport BT Portable Audio System (Black)CPE,Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof SpeakerCPE,"DreamWave - Tremor Portable Bluetooth Speaker - Green,BlackCPE",ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange)CPE,ECOXGEAR ECOXBT Waterproof Bluetooth SpeakerCPE,"EcoJam Waterproof Bluetooth Speaker, BlackCPE",EcoXGear Ecostone Bluetooth SpeakerCPE,Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black)CPE,FUGOO - Sport XL Portable Bluetooth Speaker - Black/WhiteCPE,Get Up Stand Bluetooth Home Audio SystemCPE,HMDX Dynamite Portable Splashproof Wireless Speaker (Gray)CPE,Harman Kardon One Portable Bluetooth Speaker BlackCPE,House of MarleyCPE,JBL Clip2 Portable SpeakerCPE,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal)CPE,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon GreenCPE",New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power BankCPE,Outdoor Tech Buckshot Pro Bluetooth SpeakerCPE,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""CPE",SRS-XB10 Bluetooth Speaker (White)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Blue)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Red)CPE,SRS-XB40 Bluetooth Speaker (Black)CPE,SRS-XB40 Bluetooth Speaker (Blue)CPE,SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black)CPE,Sony - XB20 Portable Bluetooth Speaker - BlueCPE,Sony - XB7 Extra Bass Audio System with Bluetooth - BlackCPE,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal blackCPE,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black)CPE,Sony Ultra-Portable Bluetooth SpeakerCPE,Tough Portable Bluetooth Speaker (Black and Silver)CPE,h.ear go Wireless Speaker (Lime Yellow)CPE,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)CPE,iLive - ISBW216 Wireless Gnome Outdoor Speaker - MultiCPE,iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal)CPE
const,0.02,-0.01,0.0,0.01,-0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,-0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.02,0.04,-0.02,0.01,0.0,0.0,-0.02,0.01,0.01,0.01
BOOM 2 Wireless Bluetooth Speaker - Indigo,-1.7,0.07,1.05,-0.38,0.07,0.71,0.71,2.73,0.71,-0.85,0.29,-1.34,-2.26,-1.28,4.45,0.14,0.14,-0.57,-0.06,0.5,0.84,4.45,3.88,-2.03,0.71,1.91,-3.34,-2.11,-1.27,-1.87,0.21,0.5,2.74,-2.73,0.51,-0.57,0.29,-3.03,-0.73,0.71,0.23
BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - Black,-1.13,-0.5,-1.38,0.98,-0.5,-0.77,-0.77,-2.12,-0.77,-1.22,-1.55,-0.37,-1.68,-1.12,-2.2,-1.29,-1.29,-0.05,-0.14,0.02,1.29,-2.2,-4.11,-0.15,-0.77,-2.14,-0.73,-1.07,-1.71,-1.72,0.06,-1.94,3.27,-0.47,-0.15,-0.9,1.56,-1.17,-0.66,-0.77,1.37
Bose® - Soundlink® Color Bluetooth Speaker II - Coral Red,2.24,-1.08,1.27,1.15,-1.08,0.19,0.19,3.77,0.19,1.32,0.92,0.49,1.49,0.53,4.59,-0.1,-0.1,-0.21,-0.21,0.86,1.77,4.59,2.53,0.28,0.19,0.91,-0.68,1.46,0.66,1.05,1.99,0.67,1.14,-0.56,1.18,1.95,-0.33,-0.39,-0.53,0.19,2.03
Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,1.61,-0.29,1.04,1.93,-0.29,1.86,1.86,0.72,1.86,1.16,-0.14,0.75,1.24,0.72,3.44,0.82,0.82,0.89,2.15,1.7,-0.77,3.44,1.29,0.45,1.86,2.76,0.5,0.27,2.12,2.09,1.86,2.77,8.13,-3.63,1.35,0.06,0.62,-3.64,1.06,1.86,1.97
Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - Black,-0.99,-0.02,-1.03,0.88,-0.02,-0.67,-0.67,-1.9,-0.67,-0.85,-1.1,-0.26,-1.51,-0.9,-1.96,-1.09,-1.09,-0.03,-0.21,0.03,1.39,-1.96,-3.3,-0.01,-0.67,-1.8,-0.44,-0.72,-1.39,-1.35,0.1,-1.78,2.1,0.08,-0.01,-0.54,1.39,-0.51,-0.62,-0.67,1.21
Chant Mini Portable Bluetooth Wireless Speaker (Navy),0.99,3.01,1.28,3.5,3.01,2.74,2.74,-2.33,2.74,2.48,0.38,1.9,0.72,1.45,1.2,1.15,1.15,2.4,3.92,2.41,0.6,1.2,-0.86,2.14,2.74,2.87,2.66,0.7,3.35,3.68,2.53,2.61,13.49,-4.46,2.6,0.42,3.28,-4.82,2.3,2.74,3.34
Chant Sport BT Portable Audio System (Black),-1.24,9.62,3.02,2.85,9.62,-2.14,-2.14,-1.9,-2.14,4.21,4.29,0.72,-3.49,-0.17,-1.67,-2.56,-2.56,-0.97,-3.22,0.2,11.17,-1.67,2.61,2.2,-2.14,-2.81,2.37,5.11,-1.42,0.42,2.6,-6.57,-16.72,13.04,3.13,6.49,1.64,12.62,-3.78,-2.14,4.26
Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker,6.67,-1.22,2.77,1.47,-1.22,3.73,3.73,3.19,3.73,1.59,0.14,1.54,3.33,1.39,7.85,2.93,2.93,1.99,3.67,2.91,-2.63,7.85,3.65,0.75,3.73,5.06,0.55,1.58,4.07,3.99,0.9,4.68,7.91,-1.1,3.05,1.05,-0.53,-0.79,2.8,3.73,1.13
"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",4.63,-2.87,1.61,1.57,-2.87,1.68,1.68,6.35,1.68,2.53,0.99,1.86,4.31,2.13,7.7,1.33,1.33,0.91,1.66,1.86,-0.02,7.7,3.36,1.39,1.68,2.93,0.21,1.7,3.25,3.55,2.74,3.67,8.9,-4.7,1.67,2.15,-0.33,-4.26,1.28,1.68,2.34
ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange),-0.11,-1.15,-1.5,-1.17,-1.15,0.33,0.33,-0.93,0.33,-6.49,-6.91,1.24,1.76,1.35,-3.16,1.17,1.17,1.39,1.44,-0.72,-2.56,-3.16,-3.62,-4.64,0.33,-0.75,1.49,-0.78,1.53,1.17,-1.55,1.17,6.01,-3.38,-0.9,-6.58,0.66,-3.28,2.43,0.33,-1.95
ECOXGEAR ECOXBT Waterproof Bluetooth Speaker,1.15,-2.58,1.54,0.8,-2.58,-0.29,-0.29,4.45,-0.29,-7.33,-6.91,-1.12,0.5,-0.71,5.45,-0.51,-0.51,-1.54,-1.35,0.45,0.96,5.45,4.42,-8.71,-0.29,1.26,-2.87,0.8,-1.04,-1.05,2.12,0.74,-3.66,0.09,0.51,-4.98,-2.17,0.39,-1.68,-0.29,1.64
